 ,Label,Area,Mean,Min,Max
1,temp2.jpg,1914.545,142.716,97.000,174.000
2,temp2.jpg,2865.066,131.846,91.000,161.000
3,temp2.jpg,9820.602,130.755,88.000,170.000
4,temp2.jpg,829.958,139.790,100.000,168.000
5,temp2.jpg,1334.394,139.376,98.000,164.000
6,temp2.jpg,2998.167,137.881,93.000,167.000
7,temp2.jpg,2789.834,134.470,93.000,157.000
8,temp2.jpg,626.447,147.651,108.000,168.000
9,temp2.jpg,1259.163,148.449,96.000,183.000
10,temp2.jpg,1997.010,148.796,104.000,177.000
11,temp2.jpg,1588.542,157.838,115.000,178.000
12,temp2.jpg,517.458,148.594,98.000,172.000
13,temp2.jpg,5617.766,149.401,97.000,182.000
14,temp2.jpg,7113.715,145.777,90.000,189.000
15,temp2.jpg,948.592,125.241,96.000,147.000
16,temp2.jpg,11779.996,140.672,95.000,175.000
17,temp2_grain.jpg,11737.558,132.307,74.000,172.000
18,temp2_grain.jpg,9564.525,140.092,100.000,170.000
19,temp2_grain.jpg,1349.344,112.476,78.000,136.000
20,temp2_grain.jpg,4343.171,127.744,76.000,170.000
21,temp2_grain.jpg,4623.843,127.716,78.000,164.000
22,Mean,4077.128,138.552,93.571,168.762
23,SD,3744.204,10.507,10.400,11.891
24,Min,517.458,112.476,74.000,136.000
25,Max,11779.996,157.838,115.000,189.000
